Short ID,Survival,Quantity,Height (cm),Open Closed,Location UML,Water Yes No,Sampling Group
L_O_45_2,FALSE,0,0,Open,Lower,No,L_O
L_O_45_3,FALSE,0,0,Open,Lower,No,L_O
L_O_45_4,FALSE,0,0,Open,Lower,No,L_O
L_O_46_1,FALSE,0,0,Open,Lower,No,L_O
L_O_46_2,FALSE,0,0,Open,Lower,No,L_O
L_O_46_3,FALSE,0,0,Open,Lower,No,L_O
L_O_47_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_49_4,FALSE,0,0,Open,Lower,Yes,L_O
L_O_51_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_51_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_51_3,FALSE,0,0,Open,Lower,No,L_O
L_O_51_4,FALSE,0,0,Open,Lower,No,L_O
L_O_52_1,FALSE,0,0,Open,Lower,No,L_O
L_O_52_2,FALSE,0,0,Open,Lower,Yes,L_O
L_O_52_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_54_1,FALSE,0,0,Open,Lower,Yes,L_O
L_O_54_2,FALSE,0,0,Open,Lower,No,L_O
L_O_54_3,FALSE,0,0,Open,Lower,Yes,L_O
L_O_54_4,FALSE,0,0,Open,Lower,Yes,L_O
M_C_01_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_01_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_02_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_03_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_04_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_04_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_06_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_07_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_08_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_09_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_09_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_10_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_10_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_11_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_11_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_11_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_11_4,FALSE,0,0,Closed,Middle,Yes,M_C
